Nazwa,Cena,Opis,Lokal
Grüner Salat,8.5,,pizzeria
Gemischter Salat,9.8,,pizzeria
Tomaten Salat,11.5,,pizzeria
"Nüssler Salat mit Speckwürfeli, Ei & Croûtons",12.8,,pizzeria
Tomatencrèmsuppe,7.5,,pizzeria
Pilzcrèmsuppe,7.5,,pizzeria
Tomaten-/Mozzarella Salat,21.5,,pizzeria
Salat Teller,19.5,,pizzeria
Thonsalat garniert,21.5,,pizzeria
Cervelat Salat garniert,20.5,,pizzeria
Cervelat-/Käse Salat garniert,21.5,,pizzeria
Gemüselasagne,19.5,,pizzeria
Lasagne Bolognaise,21.5,,pizzeria
Spaghetti Bolognaise,21.5,,pizzeria
Spaghetti Carbonara,21.0,,pizzeria
Spaghetti Napoli,19.5,,pizzeria
Spaghetti Aglio & Olio,21.5,,pizzeria
Schweinssteak (180 gr) mit verschiedenen Salaten,29.5,,pizzeria
Schweinssteak inkl. Pommes,36.5,,pizzeria
Pouletbrust mit verschiedenen Salaten,27.5,,pizzeria
Pouletbrust inkl. Pommes,34.5,,pizzeria
Portion Pommes,9.5,,pizzeria
Margherita,15.9,,pizzeria
Funghi,19.9,,pizzeria
Fiorentina,19.9,,pizzeria
Napoli,19.5,,pizzeria
Quatro Stagioni,20.9,,pizzeria
Etna,19.9,,pizzeria
Hawaii,19.8,,pizzeria
Frutti di Mare,20.1,,pizzeria
Al Tonno,19.9,,pizzeria
Prosciutto,19.8,,pizzeria
Prosciutto e funghi,19.9,,pizzeria
Luigi,19.8,,pizzeria
Contadina,19.9,,pizzeria
Diti's Pizza,23.9,,pizzeria
Chicken,22.9,,pizzeria
